UniqueKey,year,category_id,category,subcategory_id,subcategory,project_id,project,amount
1,2011,1,健康福祉,1.2,福祉,project_1,老人保健医療費拠出金,5248169
2,2011,8,政策,8.2,総務,project_2,基金管理費,700305
3,2011,1,健康福祉,1.2,福祉,project_3,扶助費,1976070555
4,2011,8,政策,8.1,政策,project_4,議会費,37099172
5,2011,8,政策,8.1,政策,project_5,議会費,130604740
6,2011,8,政策,8.1,政策,project_6,議会費,1113600
7,2011,8,政策,8.1,政策,project_7,議会費,2094000
8,2011,8,政策,8.1,政策,project_8,議会費,33669986
9,2011,8,政策,8.1,政策,project_9,議会費,630000
10,2011,8,政策,8.1,政策,project_10,議会費,1002000
11,2011,8,政策,8.1,政策,project_11,議会費,2742241
12,2011,8,政策,8.1,政策,project_12,議会費,11868983
13,2011,8,政策,8.1,政策,project_13,議会費,118272000
14,2011,8,政策,8.1,政策,project_14,議会費,1212000
15,2011,8,政策,8.1,政策,project_15,議会費,13467667
16,2011,8,政策,8.1,政策,project_16,議会費,51341
17,2011,8,政策,8.1,政策,project_17,議会費,446725
18,2011,8,政策,8.1,政策,project_18,議会費,329225
19,2011,8,政策,8.1,政策,project_19,議会費,6212703
20,2011,8,政策,8.1,政策,project_20,議会費,89480
21,2011,8,政策,8.1,政策,project_21,議会費,45968
22,2011,8,政策,8.1,政策,project_22,議会費,3936908
23,2011,8,政策,8.1,政策,project_23,議会費,2341745
24,2011,8,政策,8.1,政策,project_24,議会費,9600
25,2011,8,政策,8.1,政策,project_25,議会費,1481888
26,2011,8,政策,8.1,政策,project_26,議会費,2677500
27,2011,8,政策,8.1,政策,project_27,議会費,183025
28,2011,8,政策,8.1,政策,project_28,議会費,783500
29,2011,8,政策,8.1,政策,project_29,議会費,13000
30,2011,8,政策,8.1,政策,project_30,議会費,5132862
31,2011,8,政策,8.2,総務,project_31,一般管理費,8878400
32,2011,8,政策,8.2,総務,project_32,一般管理費,54000
33,2011,8,政策,8.2,総務,project_33,一般管理費,49500
34,2011,8,政策,8.2,総務,project_34,一般管理費,310500
35,2011,8,政策,8.2,総務,project_35,一般管理費,82583640
36,2011,8,政策,8.2,総務,project_36,一般管理費,24366800
37,2011,8,政策,8.2,総務,project_37,一般管理費,558838071
38,2011,8,政策,8.2,総務,project_38,一般管理費,2936100
39,2011,8,政策,8.2,総務,project_39,一般管理費,12830400
40,2011,8,政策,8.2,総務,project_40,一般管理費,27324000
41,2011,8,政策,8.2,総務,project_41,一般管理費,8834600
42,2011,8,政策,8.2,総務,project_42,一般管理費,11263400
43,2011,8,政策,8.2,総務,project_43,一般管理費,18956104
44,2011,8,政策,8.2,総務,project_44,一般管理費,221163456
45,2011,8,政策,8.2,総務,project_45,一般管理費,16462000
46,2011,8,政策,8.2,総務,project_46,一般管理費,767943243
47,2011,8,政策,8.2,総務,project_47,一般管理費,7843460
48,2011,8,政策,8.2,総務,project_48,一般管理費,199141977
49,2011,8,政策,8.2,総務,project_49,一般管理費,6834618
50,2011,8,政策,8.2,総務,project_50,一般管理費,57773422
51,2011,8,政策,8.2,総務,project_51,一般管理費,32094
52,2011,8,政策,8.2,総務,project_52,一般管理費,886037
53,2011,8,政策,8.2,総務,project_53,一般管理費,538850
54,2011,8,政策,8.2,総務,project_54,一般管理費,0
55,2011,8,政策,8.2,総務,project_55,一般管理費,0
56,2011,8,政策,8.2,総務,project_56,一般管理費,8561400
57,2011,8,政策,8.2,総務,project_57,一般管理費,102778564
58,2011,8,政策,8.2,総務,project_58,一般管理費,1067500
59,2011,8,政策,8.2,総務,project_59,一般管理費,748942
60,2011,8,政策,8.2,総務,project_60,一般管理費,5115616
61,2011,8,政策,8.2,総務,project_61,一般管理費,41400
62,2011,8,政策,8.2,総務,project_62,一般管理費,0
63,2011,8,政策,8.2,総務,project_63,一般管理費,9600
64,2011,8,政策,8.2,総務,project_64,一般管理費,0
65,2011,8,政策,8.2,総務,project_65,一般管理費,516400
66,2011,8,政策,8.2,総務,project_66,一般管理費,1644700
67,2011,8,政策,8.2,総務,project_67,一般管理費,12560
68,2011,8,政策,8.2,総務,project_68,一般管理費,0
69,2011,8,政策,8.2,総務,project_69,一般管理費,459750
70,2011,8,政策,8.2,総務,project_70,一般管理費,1366605
71,2011,8,政策,8.2,総務,project_71,一般管理費,10500
72,2011,8,政策,8.2,総務,project_72,一般管理費,678084
73,2011,8,政策,8.2,総務,project_73,一般管理費,12495
74,2011,8,政策,8.2,総務,project_74,一般管理費,7053320
75,2011,8,政策,8.2,総務,project_75,一般管理費,0
76,2011,8,政策,8.2,総務,project_76,一般管理費,0
77,2011,8,政策,8.2,総務,project_77,一般管理費,869445
78,2011,8,政策,8.2,総務,project_78,一般管理費,995688
79,2011,8,政策,8.2,総務,project_79,一般管理費,241651
80,2011,8,政策,8.2,総務,project_80,一般管理費,3024110
81,2011,8,政策,8.2,総務,project_81,一般管理費,32550
82,2011,8,政策,8.2,総務,project_82,一般管理費,6000
83,2011,8,政策,8.2,総務,project_83,一般管理費,993313
84,2011,8,政策,8.2,総務,project_84,一般管理費,25382
85,2011,8,政策,8.2,総務,project_85,一般管理費,131224
86,2011,8,政策,8.2,総務,project_86,一般管理費,202090
87,2011,8,政策,8.2,総務,project_87,一般管理費,150400
88,2011,8,政策,8.2,総務,project_88,一般管理費,78750
89,2011,8,政策,8.2,総務,project_89,一般管理費,80
90,2011,8,政策,8.2,総務,project_90,一般管理費,13084759
91,2011,8,政策,8.2,総務,project_91,一般管理費,630000
92,2011,8,政策,8.2,総務,project_92,一般管理費,730980
93,2011,8,政策,8.2,総務,project_93,一般管理費,3486000
94,2011,8,政策,8.2,総務,project_94,一般管理費,13261020
95,2011,8,政策,8.2,総務,project_95,一般管理費,6710
96,2011,8,政策,8.2,総務,project_96,一般管理費,270795
97,2011,8,政策,8.2,総務,project_97,一般管理費,88190
98,2011,8,政策,8.2,総務,project_98,一般管理費,391440
99,2011,8,政策,8.2,総務,project_99,一般管理費,1200
100,2011,8,政策,8.2,総務,project_100,一般管理費,1975869
101,2011,8,政策,8.2,総務,project_101,一般管理費,3132245
102,2011,8,政策,8.2,総務,project_102,一般管理費,3000
103,2011,8,政策,8.2,総務,project_103,一般管理費,67200
104,2011,8,政策,8.2,総務,project_104,一般管理費,140000
105,2011,8,政策,8.2,総務,project_105,一般管理費,764000
106,2011,8,政策,8.2,総務,project_106,一般管理費,12439560
107,2011,8,政策,8.2,総務,project_107,一般管理費,989107
108,2011,8,政策,8.2,総務,project_108,一般管理費,1500000
109,2011,8,政策,8.2,総務,project_109,文書広報費,36506698
110,2011,8,政策,8.2,総務,project_110,文書広報費,180000
111,2011,8,政策,8.2,総務,project_111,文書広報費,58370918
112,2011,8,政策,8.2,総務,project_112,文書広報費,60000
113,2011,8,政策,8.2,総務,project_113,文書広報費,4630
114,2011,8,政策,8.2,総務,project_114,文書広報費,34700
115,2011,8,政策,8.2,総務,project_115,文書広報費,25665509
116,2011,8,政策,8.2,総務,project_116,文書広報費,112108
117,2011,8,政策,8.2,総務,project_117,文書広報費,0
118,2011,8,政策,8.2,総務,project_118,文書広報費,0
119,2011,8,政策,8.2,総務,project_119,文書広報費,0
120,2011,8,政策,8.2,総務,project_120,文書広報費,555
121,2011,8,政策,8.2,総務,project_121,文書広報費,1400000
122,2011,8,政策,8.2,総務,project_122,文書広報費,2400
123,2011,8,政策,8.2,総務,project_123,文書広報費,16840000
124,2011,8,政策,8.2,総務,project_124,文書広報費,8316
125,2011,8,政策,8.2,総務,project_125,文書広報費,75600
126,2011,8,政策,8.2,総務,project_126,文書広報費,24000
127,2011,8,政策,8.2,総務,project_127,財産管理費,583000
128,2011,8,政策,8.2,総務,project_128,財産管理費,14600
129,2011,8,政策,8.2,総務,project_129,財産管理費,0
130,2011,8,政策,8.2,総務,project_130,財産管理費,38000
131,2011,8,政策,8.2,総務,project_131,財産管理費,38000
132,2011,8,政策,8.2,総務,project_132,財産管理費,5246469
133,2011,8,政策,8.2,総務,project_133,財産管理費,4754273
134,2011,8,政策,8.2,総務,project_134,財産管理費,160388
135,2011,8,政策,8.2,総務,project_135,財産管理費,91600
136,2011,8,政策,8.2,総務,project_136,財産管理費,25371712
137,2011,8,政策,8.2,総務,project_137,財産管理費,27210
138,2011,8,政策,8.2,総務,project_138,財産管理費,49562
139,2011,8,政策,8.2,総務,project_139,財産管理費,302611
140,2011,8,政策,8.2,総務,project_140,財産管理費,7899263
141,2011,8,政策,8.2,総務,project_141,財産管理費,3700000
142,2011,8,政策,8.2,総務,project_142,財産管理費,4504898
143,2011,8,政策,8.2,総務,project_143,財産管理費,5063258
144,2011,8,政策,8.2,総務,project_144,財産管理費,3598480
145,2011,8,政策,8.2,総務,project_145,財産管理費,3433585
146,2011,8,政策,8.2,総務,project_146,財産管理費,6163948
147,2011,8,政策,8.2,総務,project_147,財産管理費,671397
148,2011,8,政策,8.2,総務,project_148,財産管理費,6660696
149,2011,8,政策,8.2,総務,project_149,財産管理費,631717
150,2011,8,政策,8.2,総務,project_150,財産管理費,101964
151,2011,8,政策,8.2,総務,project_151,財産管理費,4824425
152,2011,8,政策,8.2,総務,project_152,財産管理費,18251
153,2011,8,政策,8.2,総務,project_153,財産管理費,35014
154,2011,8,政策,8.2,総務,project_154,財産管理費,36174
155,2011,8,政策,8.2,総務,project_155,財産管理費,21965
156,2011,8,政策,8.2,総務,project_156,財産管理費,20695
157,2011,8,政策,8.2,総務,project_157,財産管理費,33857
158,2011,8,政策,8.2,総務,project_158,財産管理費,24221
159,2011,8,政策,8.2,総務,project_159,財産管理費,370581
160,2011,8,政策,8.2,総務,project_160,財産管理費,73390
161,2011,8,政策,8.2,総務,project_161,財産管理費,22441
162,2011,8,政策,8.2,総務,project_162,財産管理費,22206
163,2011,8,政策,8.2,総務,project_163,財産管理費,26514897
164,2011,8,政策,8.2,総務,project_164,財産管理費,6000
165,2011,8,政策,8.2,総務,project_165,財産管理費,1428114
166,2011,8,政策,8.2,総務,project_166,財産管理費,895041
167,2011,8,政策,8.2,総務,project_167,財産管理費,1513508
168,2011,8,政策,8.2,総務,project_168,財産管理費,1732851
169,2011,8,政策,8.2,総務,project_169,財産管理費,940604
170,2011,8,政策,8.2,総務,project_170,財産管理費,621863
171,2011,8,政策,8.2,総務,project_171,財産管理費,1300620
172,2011,8,政策,8.2,総務,project_172,財産管理費,1477163
173,2011,8,政策,8.2,総務,project_173,財産管理費,3350236
174,2011,8,政策,8.2,総務,project_174,財産管理費,525525
175,2011,8,政策,8.2,総務,project_175,財産管理費,3312330
176,2011,8,政策,8.2,総務,project_176,財産管理費,3262980
177,2011,8,政策,8.2,総務,project_177,財産管理費,5309514
178,2011,8,政策,8.2,総務,project_178,財産管理費,88559310
179,2011,8,政策,8.2,総務,project_179,財産管理費,472500
180,2011,8,政策,8.2,総務,project_180,財産管理費,319480
181,2011,8,政策,8.2,総務,project_181,財産管理費,15572688
182,2011,8,政策,8.2,総務,project_182,財産管理費,31500
183,2011,8,政策,8.2,総務,project_183,財産管理費,314400
184,2011,8,政策,8.2,総務,project_184,財産管理費,4207314
185,2011,8,政策,8.2,総務,project_185,財産管理費,4821752
186,2011,8,政策,8.2,総務,project_186,財産管理費,5337680
187,2011,8,政策,8.2,総務,project_187,財産管理費,4392464
188,2011,8,政策,8.2,総務,project_188,財産管理費,4716909
189,2011,8,政策,8.2,総務,project_189,財産管理費,6007844
190,2011,8,政策,8.2,総務,project_190,財産管理費,4446166
191,2011,8,政策,8.2,総務,project_191,財産管理費,185192
192,2011,8,政策,8.2,総務,project_192,財産管理費,814758
193,2011,8,政策,8.2,総務,project_193,財産管理費,936774
194,2011,8,政策,8.2,総務,project_194,財産管理費,37520
195,2011,8,政策,8.2,総務,project_195,財産管理費,267718
196,2011,8,政策,8.2,総務,project_196,財産管理費,302330
197,2011,8,政策,8.2,総務,project_197,財産管理費,724200
198,2011,8,政策,8.2,総務,project_198,財産管理費,1305350
199,2011,8,政策,8.2,総務,project_199,財産管理費,586056
200,2011,8,政策,8.2,総務,project_200,財産管理費,295658
201,2011,8,政策,8.2,総務,project_201,財産管理費,673918
202,2011,8,政策,8.2,総務,project_202,財産管理費,0
203,2011,8,政策,8.2,総務,project_203,財産管理費,1155000
204,2011,8,政策,8.2,総務,project_204,財産管理費,2910442
205,2011,8,政策,8.2,総務,project_205,財産管理費,0
206,2011,8,政策,8.2,総務,project_206,財産管理費,21600
207,2011,8,政策,8.2,総務,project_207,財産管理費,1246166
208,2011,8,政策,8.2,総務,project_208,財産管理費,24508050
209,2011,8,政策,8.2,総務,project_209,財産管理費,426440
210,2011,8,政策,8.2,総務,project_210,財産管理費,7000
211,2011,8,政策,8.2,総務,project_211,財産管理費,89000
212,2011,8,政策,8.2,総務,project_212,財産管理費,965318
213,2011,8,政策,8.2,総務,project_213,財産管理費,6000
214,2011,8,政策,8.2,総務,project_214,企画費,14485626
215,2011,8,政策,8.2,総務,project_215,企画費,1134000
216,2011,8,政策,8.2,総務,project_216,企画費,121500
217,2011,8,政策,8.2,総務,project_217,企画費,135000
218,2011,8,政策,8.2,総務,project_218,企画費,54000
219,2011,8,政策,8.2,総務,project_219,企画費,6164000
220,2011,8,政策,8.2,総務,project_220,企画費,3520000
221,2011,8,政策,8.2,総務,project_221,企画費,93000
222,2011,8,政策,8.2,総務,project_222,企画費,492876
223,2011,8,政策,8.2,総務,project_223,企画費,907334
224,2011,8,政策,8.2,総務,project_224,企画費,882000
225,2011,8,政策,8.2,総務,project_225,企画費,22500
226,2011,8,政策,8.2,総務,project_226,企画費,250000
227,2011,8,政策,8.2,総務,project_227,企画費,155794
228,2011,8,政策,8.2,総務,project_228,企画費,129000
229,2011,8,政策,8.2,総務,project_229,企画費,0
230,2011,8,政策,8.2,総務,project_230,企画費,0
231,2011,8,政策,8.2,総務,project_231,企画費,520000
